contracts,employment_type,level_of_exp,location,optional_skills,os,required_skills,ua_support
"['part time', 'additional / temporary']","['home office work', 'hybrid work', 'full office work']",['junior'],Białystok,,,"['Visual Studio', 'Minecraft', 'Python', 'Unity 3D', 'C#', 'Kali Linux', 'Android Studio', 'Scratch']",False
['full-time'],"['home office work', 'hybrid work']","['mid', 'senior']",Warszawa,"['Python', 'SQL', 'Microsoft Power BI', 'R', 'Tableau', 'TensorFlow', 'AWS', 'Microsoft Azure', 'PyTorch', 'Google Cloud Platform']",['Windows'],"['Business analyses', 'AI']",False
['full-time'],"['home office work', 'hybrid work']",['mid'],Włocławek,,,"['PowerApps', '.NET', 'Python', 'C#', 'X++', 'Microsoft SQL Server']",False
['full-time'],['full office work'],['senior'],Warszawa,"['Go', 'Grafana', 'Helm', 'Python', 'VictoriaMetrics', 'Rust', 'Prometheus', 'Loki']",['Linux'],"['MongoDB', 'GitLab', 'PostgreSQL', 'Terraform', 'Saas', 'Kubernetes', 'Linux', 'Google Cloud Platform']",False
['full-time'],['home office work'],['senior'],Wrocław,,,"['Kubernetes', 'Junit', 'Typescript', 'Python', 'Gatling', 'Java', 'Playwright', 'AWS', 'Artillery']",False
['full-time'],['home office work'],['mid'],Kraków,"['Docker', 'Python', 'Puppet', 'Prometheus', 'Terraform', 'Icinga2', 'Kubernetes', 'Bash', 'Podman', 'Ansible']",['Linux'],"['PHP', 'Nginx', 'Exim', 'Apache', 'Varnish', 'Postfix']",False
['full-time'],['home office work'],"['lead', 'manager']",Warszawa,,,"['Apache Spark', 'Apache Airflow', 'Python', 'Snowflake Data Cloud', 'AWS']",False
['full-time'],['full office work'],"['mid', 'senior']",Kraków,,,"['Python', 'PostgreSQL', 'PHP', 'MariaDB', 'Bash', 'Perl', 'C++', 'MySQL']",False
['full-time'],"['home office work', 'hybrid work']","['mid', 'senior']",Katowice,"['Google Cloud Platform', 'JavaScript', 'Google Tag Manager', 'Python', 'Tableau']",,['SQL'],False
['full-time'],['hybrid work'],['senior'],Gdańsk,"['Docker', 'Python', '.NET', 'Kubernetes', 'AWS', 'Perl', 'Bash', 'Azure', 'Ansible']",,"['Terraform', 'PowerShell', 'DevOps', 'Google Cloud Platform']",False
['full-time'],['home office work'],['senior'],Warszawa,"['Go', 'GitLab', 'Grafana', 'Python', 'Tempo', 'Loki', 'Mimir', 'Bash']",,"['Kubernetes', 'Docker', 'Prometheus', 'Terraform']",False
['full-time'],['hybrid work'],['senior'],Gdańsk,"['Power Automate', 'Git', 'JavaScript', 'TypeScript', 'Python', 'Microsoft Azure', 'Power Apps']",,"['Tabular Editor', 'DAX Studio', 'ALM Toolkit', 'DAX', 'SQL', 'Microsoft Power BI']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Verifiable Credentials', 'ISO mDL', 'Python', 'Rust', 'OpenID', 'FIDO', 'Kotlin', 'Hyperledger', 'AWS']",['Linux'],"['Spring Boot', 'noSQL', 'HTML', 'JavaScript', 'SQL', 'JEE', 'REST API', 'Linux', 'CSS']",False
['full-time'],['hybrid work'],['senior'],Łódź,"['HTTPS', 'SSL', 'Python', 'SQL', 'HTTP', 'Golang']",['Linux'],"['Spring Boot', 'Azure Cosmos DB', 'GitLab', 'JavaScript', 'Jira', 'Java', 'Kubernetes', 'AWS', 'Linux']",False
['full-time'],['home office work'],['mid'],Warszawa,"['Python', 'SQL', 'BigQuery', 'Google Cloud Platform']",['Windows'],"['Looker Studio', 'HTML', 'SEMrush', 'Microsoft Copilot', 'Google Data Studio', 'ChatGPT', 'GA4', 'Chrome Dev Tools', 'Google Analytics', 'Screaming Frog', 'JavaScript', 'Gemini', 'Jira', 'WebPageTest', 'Ahrefs', 'Google Search Console', 'GSC', 'CSS']",False
['full-time'],['home office work'],['senior'],Warszawa,,,"['Apache Spark', 'Apache Airflow', 'Python', 'Snowflake Data Cloud', 'AWS']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Jenkins', 'CI/CD', 'Grafana', 'Java', 'Python', 'OpenSearch', 'DynaTrace']",['Linux'],"['non SQL', 'GitLab', 'AWS', 'Microservices', 'SQL']",False
[],['hybrid work'],['trainee'],Warszawa,"['Git', 'Java', 'REST API', 'Python', 'Spring Framework', 'Design Patterns', 'Figma']",,"['JavaScript', 'TypeScript']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['PHP', 'Laravel', 'Selenium', 'Python', 'C#', 'React']",['Windows'],"['MS Windows', 'Active Directory', 'Microsoft Biztalk', 'XML', 'IBM App Connect', 'SQL', 'Unix']",False
['full-time'],['hybrid work'],['mid'],Zabierzów (pow. krakowski),"['Boost Qt', 'QML', 'WebAssembly', 'Python', 'OpenGL', 'CMake 3']","['Windows', 'Linux']","['Git', 'SVN', 'C++', 'STL']",False
['full-time'],['hybrid work'],['mid'],Kraków,"['Docker', 'Git', 'Grafana', 'JavaScript', 'Kubernetes', 'Python', 'Zabbix']",,"['PowerShell', 'Bash', 'Linux', 'SQL', 'PostgreSQL', 'Ansible', 'Windows Server']",False
['full-time'],"['home office work', 'hybrid work']",['senior'],Wrocław,"['Camel', 'Kafka', 'Oracle', 'Python', 'Robot Framework', 'Linux', 'Apache Kafka']",['Linux'],"['Git', 'Maven', 'Java', 'Mockito', 'JUnit', 'Hibernate', 'Spring Framework']",False
['full-time'],['full office work'],['junior'],Szczecin,"['Raspberry Pi', 'Pi Pico', 'JavaScript', 'Python', 'Arduino', 'C#', 'Curiosity']",,['C'],False
['full-time'],['home office work'],['senior'],Kraków,"['Python', 'Powershell', 'CAKE', '.Net', 'JavaScript', 'AWS']",['Windows'],"['Git', 'CI/CD']",False
['full-time'],['home office work'],['senior'],Warszawa,"['Go', 'Kotlin', 'Python', 'ELK', 'AWS', 'Prometheus', 'Terraform']",,['Kubernetes'],False
['full-time'],"['hybrid work', 'full office work']",['senior'],Warszawa,"['LaTex', 'Python', 'SPI', 'Lua', 'Perl', 'I2C', 'Bash']",,"['TCP/IP', 'Git', 'Ethernet', 'Verilog', 'SVN', 'Embedded', 'C', 'C++', 'Embedded C']",False
