contracts,employment_type,level_of_exp,location,optional_skills,os,required_skills,ua_support
['full-time'],['hybrid work'],['mid'],Gdańsk,['Python'],"['Windows', 'Linux']","['Jenkins', 'Jira', 'Git', 'C++']",False
['full-time'],['full office work'],['mid'],Warszawa,['Python'],,"['Confluence', 'Jira']",False
['full-time'],"['hybrid work', 'full office work']",['mid'],Dębowiec (pow. cieszyński),['Python'],,"['PHP', 'MySQL', 'HTML5', 'JavaScript', 'CSS3', 'JQuery', 'AJAX']",False
['full-time'],['hybrid work'],['senior'],Warszawa,['Python'],['Linux'],['C++'],False
['full-time'],['home office work'],['senior'],Wrocław,['Python'],['macOS'],"['Amazon Redshift', 'Snowflake', 'Google BigQuery', 'SQL', 'Kafka', 'Apache Spark', 'Apache Flink', 'AWS', 'Kinesis']",False
['full-time'],['home office work'],"['lead', 'manager']",Warszawa,,,['Python'],True
['full-time'],"['home office work', 'hybrid work']",['mid'],Warszawa,"['Linux', 'Windows']",,['Python'],False
['full-time'],"['home office work', 'hybrid work']",['mid'],Wrocław,['Python'],,"['SQL', 'R']",False
['full-time'],['hybrid work'],['mid'],Zabierzów (pow. krakowski),['Python'],['Linux'],['Jira'],False
['full-time'],['hybrid work'],['mid'],Łódź,,,"['Jenkins', 'CircleCI', 'Docker', 'Python', 'AWS', 'GitLab CI', 'Google Cloud', 'Terraform', 'PowerShell', 'Invicti', 'Nessus', 'Azure', 'Ansible', 'SonarQube', 'CloudFormation', 'Travis CI', 'Kubernetes', 'Bash', 'OWASP ZAP']",True
['full-time'],"['home office work', 'hybrid work', 'full office work']","['mid', 'senior']",Białystok,"['Artillery.io', 'TypeScript', 'Performance tests']","['Windows', 'macOS']","['Jenkins', 'Docker', 'Python', 'Page Object Pattern', 'Xray', 'CI/CD', 'Selenium', 'Git', 'API testing', 'Jira', 'Selenium WebDriver', 'Allure/ Serenity', 'Behave', 'Cucumber', 'AWS', 'BDD']",True
['part time'],['home office work'],['mid'],Wrocław,['Windows'],,"['Microsoft SSIS', 'T-SQL', 'Qlickview', 'Python', 'Microsoft Power BI', 'Tableau', 'ASP.NET Web API', 'SCSS', 'Microsoft Azure', 'Microsoft IIS', 'Microsoft SQL Server']",False
['full-time'],['hybrid work'],['mid'],Kraków,,,"['Jenkins', 'CircleCI', 'Docker', 'Python', 'AWS', 'GitLab CI', 'Google Cloud', 'Terraform', 'PowerShell', 'Invicti', 'Nessus', 'Azure', 'Ansible', 'SonarQube', 'CloudFormation', 'Travis CI', 'Kubernetes', 'Bash', 'OWASP ZAP']",True
['full-time'],['hybrid work'],['mid'],Warszawa,['Linux'],,"['GitLab', 'Grafana', 'Helm', 'Python', 'Redis', 'Java Spring Boot Framework', 'PostgreSQL', 'Prometheus', 'Terraform', 'Cassandra', 'Shell', 'Kibana', 'Kubernetes', 'Ansible']",False
['full-time'],['hybrid work'],"['senior', 'expert']",Poznań,,,"['Jenkins', 'Docker', 'Openshift', 'Python', 'SQL', 'PostgreSQL', 'Chef', 'Linux', 'Ansible', 'MongoDB', 'Git', 'Dynatrace', 'Windows Server', 'Kubernetes', 'Bash', 'Zabbix']",False
['full-time'],['hybrid work'],['lead'],Warszawa,,,"['Tosca', 'Test Complete', 'Git', 'Python', 'TFS', 'C#', 'SVN', 'Playwright', 'Selenium', 'Mercurial']",False
['full-time'],"['home office work', 'hybrid work']",['senior'],Warszawa,,,"['Python', 'C#', 'SQL', 'SOAP', 'Sparx Enterprise Architect', 'BPMN', 'REST API', 'Archimate 3.0', 'Java', 'UML', 'XML']",False
['part time'],['hybrid work'],['mid'],Warszawa,,,"['Rest', 'TensorFlow', 'Spark', 'Grafana', 'Github Actions', 'Python', 'AWS', 'Terraform', 'Snowpark', 'Kubernetes', 'Snowflake Data Cloud', 'Airflow', 'PyTorch']",False
['full-time'],['hybrid work'],['mid'],Poznań,"['Jenkins', 'Filebeat', 'Grafana', 'Logstash', 'Kibana', 'Metricbeat', 'Kubernetes', 'AWS', 'Microsoft Azure']",['Linux'],"['Git', 'GitLab', 'Docker', 'NGINX', 'Python', 'Elasticsearch', 'PostgreSQL', 'Cassandra', 'Bash', 'Linux', 'Ansible', 'Zabbix']",False
['full-time'],['hybrid work'],['senior'],Warszawa,"['Foreman', 'Postgres', 'MSSQL', 'Chef', 'Puppet', 'AWX', 'Terraform', 'Oracle', 'Microsoft Azure', 'Ansible', 'Google Cloud Platform']",,"['Docker', 'Python', 'Rancher', 'Shell', 'Red Hat', 'Kubernetes', 'Bash', 'Linux', 'Active Directory', 'Unix', 'Windows Server']",False
['full-time'],['home office work'],"['lead', 'manager']",Warszawa,['OpenProject'],"['Windows', 'Linux']","['Logstash', 'Zscaler', 'Elasticsearch', 'Linux', 'Python', 'Qradar', 'Shell', 'Kibana', 'Splunk', 'Sentiel One', 'Windows Server']",False
['full-time'],['home office work'],['senior'],Kraków,,,"['Vue.js', 'Docker', 'TypeScript', 'Helm', 'Python', 'JavaScript', 'Redis', 'PostgreSQL', 'Terraform', 'Kubernetes', 'AWS', 'MySQL']",True
['full-time'],['home office work'],['mid'],Warszawa,"['Snowflake Data Cloud', 'Databricks', 'Docker', 'Kafka']",,"['Scala', 'Python', 'Azure DevOps', 'Apache Spark', 'Apache Airflow', 'AWS', 'Big Data', 'Google Cloud Platform']",False
['full-time'],['hybrid work'],['mid'],Warszawa,,,"['IdentityNow', 'Python', 'SailPoint IdentityIQ', 'Azure DevOps', 'ServiceNow', 'PowerShell', 'AWS', 'Microsoft Azure', 'Microsoft Entra ID']",False
['full-time'],['home office work'],['senior'],Warszawa,"['Kafka', 'Docker', 'Databricks']",,"['Scala', 'Python', 'Snowflake Data Cloud', 'Azure DevOps', 'Apache Spark', 'Apache Airflow', 'AWS', 'Big Data', 'Google Cloud Platform']",False
['full-time'],['hybrid work'],['senior'],Warszawa,['nUnit'],['Windows'],"['Jenkins', 'iOS', 'JavaScript', 'Python', 'C#', 'SQL', 'React Native', 'GraphQL', 'Java', 'Android', 'Swift', 'Gerrit']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Zabierzów (pow. krakowski),"['SQL', 'Golang']",['Linux'],"['Docker', 'VMware', 'Grafana', 'Helm', 'Python', 'Prometheus', 'Terraform', 'Kubernetes', 'AWS', 'Bash', 'Ansible']",False
['full-time'],['hybrid work'],['senior'],Gdańsk,"['ETL', 'OpenAPI', 'HTTP', 'UML']",['Windows'],"['Vue.js', 'DevOps', 'Python', 'JavaScript', 'C#', 'React.js', 'SQL', 'Angular.js', 'Java', 'Microsoft Azure', 'C++']",True
['full-time'],['hybrid work'],['senior'],Kraków,['Windows'],,"['Jenkins', 'Ruby', 'Docker', 'GitLab', 'Python', 'Terraform', 'Kubernetes', 'AWS', 'Bash', 'Google Cloud Platform']",False
['full-time'],['full office work'],['mid'],Karczew (pow. otwocki),,,"['VMware', 'Python', 'PostgreSQL', 'PHP', 'PowerShell', 'Bash', 'Perl', 'Microsoft SQL Server', 'MySQL']",False
['full-time'],['home office work'],['senior'],Wrocław,['Windows'],,"['MongoDB', 'Spring Boot', 'Docker', 'TypeScript', 'HTML', 'Python', 'JavaScript', 'Elasticsearch', 'AWS', 'Java', 'Kubernetes', 'Angular', 'CSS']",False
['full-time'],['hybrid work'],['mid'],Wrocław,,,"['GKE', 'Spark', 'Scala', 'Python', 'Dataflow', 'Kafka', 'Pub/Sub', 'Dataproc', 'Cloud Bigtable', 'Java', 'Google Data Studio', 'Apache Beam', 'BigQuery']",False
['full-time'],['hybrid work'],['senior'],Kraków,['Windows'],,"['Jenkins', 'Git', 'Docker', 'Python', 'GitHub', 'Gitlab', 'Travis CI', 'Shell', 'Kubernetes', 'Bash', 'Microsoft Azure', 'Google Cloud Platform']",True
['full-time'],['hybrid work'],['mid'],Warszawa,['Linux'],,"['Spark', 'Github Actions', 'scikit-learn', 'Python', 'AWS', 'TensorFlow', 'Snowflake Data Cloud', 'PyTorch']",False
['full-time'],"['hybrid work', 'full office work']","['senior', 'expert']",Gdańsk,['Windows'],,"['Spark', 'Python', 'Databricks', 'SQL', 'Azure DevOps', 'Azure SQL', 'Microsoft Azure', 'Azure']",False
['full-time'],['home office work'],"['mid', 'senior']",300 Spectrum Center Drive/Suite 400 92618 Irvine,"['MLOPS', 'Microsoft Fabric', 'Delta Lake', 'Big Data', 'Figma']",,"['agile', 'Python', 'SQL', 'PBI', 'Business Analytics', 'Data Lake', 'DAX', 'Power BI']",True
['full-time'],['hybrid work'],"['senior', 'expert']",Poznań,"['Grafana', 'Kibana', 'Logstash', 'Elasticsearch', 'AWS', 'Prometheus']",,"['Jenkins', 'Docker', 'Git', 'Python', 'PostgreSQL', 'Kubernetes', 'Bash', 'Linux', 'Red Hat', 'Ansible', 'MySQL']",True
['full-time'],['home office work'],"['senior', 'expert']",Warszawa,"['Apache Spark', 'Databricks', 'Azure DevOps', 'Apache Airflow']",,"['Python', 'SQL', 'PostgreSQL', 'DWH', 'Data Lake', 'CI/CD', 'ETL/ELT', 'Microsoft Azure', 'Microsoft SQL Server']",True
['full-time'],['home office work'],"['mid', 'senior']",Warszawa,['OpenProject'],"['Windows', 'Linux']","['Logstash', 'Zscaler', 'Elasticsearch', 'Linux', 'Python', 'Qradar', 'Shell', 'Kibana', 'Splunk', 'Windows Server']",False
['full-time'],"['home office work', 'hybrid work', 'full office work']",['senior'],Lublin,"['Nexus', 'Artifactory']",['Windows'],"['Docker', 'Git', 'Ansible', 'Python', 'Puppet', 'Terraform', 'PowerShell', 'Kubernetes', 'AWS', 'Linux', 'Unix', 'Bash']",False
['full-time'],['hybrid work'],['senior'],Warszawa,['Windows'],,"['Flask', 'Scikit-learn', 'Python', 'SQL', 'TensorFlow', 'AWS', 'Microsoft Azure', 'PyTorch', 'FastAPI', 'Google Cloud Platform']",False
['full-time'],['hybrid work'],['mid'],Warszawa,,,"['PySpark', 'GitLab', 'Oracle DB', 'Python', 'SQL', 'PostgreSQL', 'MS Office Visual Basic', 'AWS']",True
['full-time'],['hybrid work'],['mid'],Zabierzów (pow. krakowski),"['Cassandra', 'SQL', 'Golang']",['Linux'],"['Docker', 'VMware', 'Grafana', 'Helm', 'Python', 'Prometheus', 'Terraform', 'Kubernetes', 'AWS', 'Bash', 'Ansible']",False
['full-time'],"['home office work', 'hybrid work']",['mid'],Warszawa,,,"['Python', 'C#', 'SQL', 'SOAP', 'BPMN', 'Sparx Enterprise Architect', 'Java', 'Archimate 3.0', 'REST API', 'UML', 'XML']",False
['full-time'],['hybrid work'],['senior'],Poznań,,,"['MongoDB', 'Ruby', 'Docker', 'Python', 'JavaScript', 'PostgreSQL', 'SQL', 'LXC', 'rkt', 'Java', 'DB2', 'Linux']",False
['full-time'],"['hybrid work', 'full office work']",['senior'],Warszawa,,,"['Problem Solving', 'Python', 'Testing', 'Databases', 'Troubleshooting', 'Front-End', 'CI/CD', 'Cloud', 'Analytical Thinking', 'C++']",False
['full-time'],['hybrid work'],"['senior', 'expert']",Warszawa,['Google Cloud Platform'],"['Windows', 'macOS']","['NoSQL', 'Python', 'gRPC', 'SQL', 'Kafka', 'ETL applications', 'GraphQL', 'Cloud', 'REST', 'R']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Datadog', 'ElasticSearch', 'Cloudflare', 'Grafana', 'Kubecost', 'Prometheus', 'MySQL']",['Windows'],"['Jenkins', 'GitLab', 'Python', 'Terraform', 'Kubernetes', 'AWS', 'TeamCity', 'Bash', 'Ansible']",False
['full-time'],['hybrid work'],['senior'],Warszawa,,,"['Microsoft Azure', 'Python', 'Snowflake Data Cloud', 'SQL', 'SAP HANA']",False
['full-time'],['home office work'],['senior'],Kraków,"['Scala', 'Kotlin']",['Windows'],"['MongoDB', 'Python', 'PostgreSQL', 'Prometheus', 'Kafka', 'Java', 'Kubernetes', 'AWS']",True
['full-time'],['home office work'],['senior'],Wrocław,"['Kafka', 'Apache Spark', 'Apache Flink', 'AWS Glue', 'Kinesis']",['macOS'],"['Amazon Redshift', 'Google BigQuery', 'Java', 'Python', 'Snowflake', 'SQL']",False
['full-time'],['hybrid work'],['expert'],Kraków,['SAP HANA'],,"['Ruby', 'GitLab', 'Python', 'UNIX', 'SQL', 'AWS', 'Perl', 'Hadoop']",True
['full-time'],['hybrid work'],"['mid', 'senior']",Wrocław,,,"['R', 'Python', 'SQL', 'Microsoft Power BI', 'Microsoft Excel']",False
['full-time'],"['home office work', 'hybrid work', 'full office work']",['mid'],Wrocław,"['AWS', 'Docker']",,"['Keras', 'Numpy', 'Pandas', 'scikit-learn', 'TensorFlow', 'Python', 'PyTorch']",False
['full-time'],"['home office work', 'hybrid work']",['mid'],Katowice,"['Linux', 'Windows']",,"['Go', 'Ansible', 'Python', 'Terraform', 'Postgress', 'AWS', 'Bash', 'MySQL']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Linux', 'Windows']",,"['Network', 'Docker', 'OpenShift', 'Python', 'Shell', 'CI/CD', 'Kubernetes', 'API', 'Ansible']",True
['full-time'],['full office work'],['mid'],Kraków,"['Linux', 'Windows']",,"['Microsoft Office', 'Microsoft Visio', 'Microsoft Project', 'Python', 'C#', 'C++']",False
['full-time'],['hybrid work'],['mid'],Warszawa,,,"['MLFlo', 'Python', 'Databricks', 'AML', 'TensorFlow', 'Dataiku', 'Microsoft Azure', 'PyTorch']",False
['full-time'],['home office work'],['mid'],Wrocław,,,"['Git', 'Python', 'R', 'Microsoft Power BI', 'Microsoft Excel']",False
['full-time'],['hybrid work'],['senior'],Warszawa,"['SageMaker', 'ElasticSearch', 'Kafka', 'Hashicorp', 'Airflow', 'OpenTelemetry', 'DBT']",,"['Git', 'Docker', 'Python', 'Bamboo', 'Terraform', 'Vault', 'Consul', 'AWS', 'Nomad']",False
['full-time'],['home office work'],['mid'],Kraków,['Windows'],,"['Docker', 'Python', 'JavaScript', 'Bazel', 'Jira', 'CMake', 'GIT', 'C', 'Bash', 'Make', 'C++']",False
['full-time'],['home office work'],"['mid', 'senior']",Warszawa,"['Azure Data Factory', 'Azure Synapse', 'Microsoft Azure', 'Databricks', 'Azure DevOps']",,"['Data lake', 'Python', 'SQL', 'Microsoft Power BI', 'PostgreSQL', 'DWH', 'DAX', 'M language', 'Microsoft SQL Server']",True
['full-time'],['hybrid work'],['trainee'],Warszawa,['Windows'],,"['Docker', 'Git', 'JavaScript', 'Python', 'PostgreSQL', 'Nginx', 'Google Acts', 'MySQL', 'Ubuntu Server', 'Windows Server']",False
['full-time'],['hybrid work'],['senior'],Kraków,,,"['MongoDB', 'Alfabet', 'Okta', 'Python', 'JavaScript', 'React.js', 'Angular', 'HTML5', 'AWS', 'Linux', 'Bash']",True
['full-time'],['hybrid work'],['mid'],Warszawa,,,"['Spark', 'Grafana', 'Github Actions', 'Python', 'Snowflake Data Cloud', 'Snowpark', 'TensorFlow', 'AWS', 'Airflow', 'PyTorch']",False
['full-time'],"['hybrid work', 'full office work']",['manager'],Warszawa,,,"['Spring Boot', 'Python', 'OpenShift', 'JavaScript', 'PostgreSQL', 'Kafka', 'Oracle', 'Java', 'Kubernetes', 'Google Cloud Platform']",False
['full-time'],['hybrid work'],['mid'],Warszawa,['Linux'],,"['Rest API', 'JSON', 'Python', 'Django', 'PostgreSQL', 'Apache', 'Bash']",True
['full-time'],['home office work'],['senior'],Warszawa,,,"['Django Rest Framework', 'Java', 'node.js).', 'Python', 'Django', 'Elasticsearch', 'JS (Angular']",True
['full-time'],['hybrid work'],['mid'],Katowice,,,"['Git', 'C++', 'Java', 'Python', 'XML', 'Azure DevOps', 'C']",False
['full-time'],"['home office work', 'hybrid work']","['mid', 'senior']",Wrocław,"['Jenkins', 'GitLab', 'Functions', 'Docker', 'Terraform', 'Lambda', 'Kubernetes', 'Ansible']","['Windows', 'Linux']","['Shell', 'Oracle', 'Microsoft Azure', 'Python', 'Perl', 'SQL', 'AWS']",False
['full-time'],['hybrid work'],['mid'],Kraków,['Windows'],,"['Python', 'R', 'Microsoft Power BI', 'Microsoft Excel', 'Tableau']",False
['full-time'],['home office work'],['senior'],Warszawa,"['Falcon', 'Redis', 'Elasticsearch', 'Celery', 'RabbitMQ']",,"['PHP', 'Docker', 'Rest API', 'Python', 'Django', 'UNIX', 'Ansible']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['C#', 'SAS', 'JavaScript', 'Jira', 'Tableau']",,"['PySpark', 'GitLab', 'Python', 'AWS', 'SQL', 'PostgreSQL', 'Microsoft Excel']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,['Kubeflow'],"['Windows', 'Linux']","['Scala', 'HBase', 'Python', 'Kudu', 'Hive', 'Kafka', 'Apache Nifi', 'Java', 'Ansible']",True
['full-time'],['home office work'],"['mid', 'senior']",Warszawa,"['Kafka', 'Scali', 'Docker']",['Linux'],"['NoSQL', 'Python', 'Snowflake', 'Databricks', 'SQL', 'Apache Airflow', 'Redshift', 'AWS', 'Bash']",False
['full-time'],['hybrid work'],['senior'],Warszawa,,,"['Spark', 'Python', 'SQL', 'Microsoft Power BI', 'SAS 4GL', 'Tableau']",False
['full-time'],"['home office work', 'hybrid work']",['senior'],Katowice,['Linux'],,"['Git', 'Python', 'PostgreSQL', 'Flink', 'Kafka', 'Oracle', 'Java', 'REST']",False
['full-time'],"['home office work', 'hybrid work']","['mid', 'senior']",Warszawa,,,"['Confluence', 'Docker', 'Git', 'Python', 'Jira', 'Bitbucket', 'Bamboo', 'Terraform', 'AWS']",False
['full-time'],['full office work'],['senior'],Gdańsk,['Windows'],,"['Scala', 'Python', 'SQL', 'Databricks', 'Azure DevOps', 'no-SQL', 'R', 'Azure']",False
['full-time'],['full office work'],['mid'],Dąbrowa Górnicza,,,"['SAN', 'Perl', 'Python', 'VMWare', 'Shell', 'MariaDB', 'Debian', 'RedHat', 'CentOS', 'MySQL']",False
['full-time'],['full office work'],['mid'],Rzeszów,,,"['Python', 'JavaScript', 'C#', 'SQL', 'ASP.NET', 'Tableau', 'Azure', 'Google Cloud Platform']",False
['full-time'],['hybrid work'],['mid'],Warszawa,['React.js'],['Linux'],"['Flask', 'Git', 'HTML5', 'REST API', 'Python', 'CSS3', 'FastAPI']",False
['full-time'],['home office work'],['mid'],Warszawa,,,"['PySpark', 'Dataflow', 'Python', 'Airflow', 'SQL', 'BigQuery', 'Google Cloud Platform']",False
['full-time'],['home office work'],['senior'],Wrocław,['Linux'],,"['Jenkins', 'Git', 'Python', 'Robot', 'Shell', 'WebSphere', 'Kubernetes', 'Perl', 'Gerrit']",True
['full-time'],"['home office work', 'hybrid work']",['senior'],Kraków,['SAP HANA'],['Windows'],"['T-SQL', 'Python', 'Microsoft Azure', 'SQL', 'Microsoft Power BI']",False
['full-time'],"['home office work', 'hybrid work', 'full office work']","['senior', 'expert']",Kraków,"['JavaScript', 'Vue.js', 'React.js', 'Node.js']",['macOS'],"['Ruby', 'Docker', 'Kubernetes', 'Python', 'Ruby on Rails', 'SQL', 'AWS']",False
['full-time'],['hybrid work'],"['senior', 'expert']",Katowice,['Windows'],,"['Python', 'C#', 'Enterprise Architect', 'SQL', 'BPMN', 'Java', 'UML', 'R', 'C++']",False
['full-time'],['hybrid work'],['senior'],Warszawa,,,"['Go', 'Docker', 'Sentry', 'Grafana', 'Python', 'Prometheus', 'Loki', 'Kubernetes', 'AWS', 'Bash']",False
['full-time'],['hybrid work'],['senior'],Warszawa,"['Linux', 'Docker', 'Kubernetes']",,"['SQL/NoSQL', 'GitLab', 'Postgres', 'Python', 'Elasticsearch', 'Cassandra', 'Oracle', 'Sybase', 'GIT']",False
['full-time'],['full office work'],['junior'],Warszawa,"['Django', 'Streamlit']",,"['Python', 'bazy wektorowe qdrant', 'bazy wektorowe milvus', 'Docker']",False
['full-time'],['home office work'],"['mid', 'senior']","300 Spectrum Center Drive/Suite 400
92618 Irvine","['MLOPS', 'Delta Lake', 'Big Data', 'Microsoft Fabric']",,"['agile', 'ETL', 'Data Lake', 'Data Engineer', 'Data Pipelines', 'Python', 'SQL']",True
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,"['Linux', 'Windows']",,"['Docker', 'Python', 'Java', 'Kubernetes', 'AWS', 'Linux', 'Azure', 'Windows Server']",True
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,,,"['Apache Spark', 'GenAI', 'Python', 'LLM', 'SQL', 'Hadoop', 'Hive']",False
['full-time'],"['hybrid work', 'full office work']",['mid'],Kraków,['Linux'],,"['PostgreSQL Vmware', 'Python', 'Proxmox', 'Nginx', 'Oracle', 'Debian', 'RedHat', 'Apache', 'Bash']",False
['full-time'],['home office work'],['junior'],Warszawa,"['Jenkins', 'Palo Alto', 'GitLab']",['Linux'],"['Cloud Formation', 'Go', 'Bicep', 'Python', 'Linux', 'Ansible', 'Terraform']",False
['full-time'],"['hybrid work', 'full office work']",['mid'],Wrocław,"['Linux', 'macOS', 'Windows']",,"['T-SQL', 'Keras', 'TensorFlow', 'Python', 'PyTorch']",False
['full-time'],['hybrid work'],['mid'],Leszno,"['Linux', 'Windows']",,"['Git', 'C++', 'Java', 'Python', 'Azure DevOps', 'C']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,,,"['Data Governance', 'Data Lake', 'Cloud', 'Python', 'SQL']",False
['full-time'],['home office work'],"['junior', 'mid']",Warszawa,,,"['PySpark', 'Databricks', 'Python', 'Microsoft Azure', 'SQL']",False
['full-time'],['home office work'],['mid'],Kraków,,,"['Node.js', 'IaaS', 'CI/CD', 'TypeScript', 'Python', 'AWS']",True
['full-time'],"['home office work', 'hybrid work', 'full office work']",['expert'],Białystok,"['AI', 'automotive']","['Windows', 'macOS']","['Jenkins', 'JavaScript', 'TypeScript', 'Selenium', 'Python', 'AWS']",True
['full-time'],['hybrid work'],['senior'],Wrocław,['Windows'],,"['HTML', 'Python', 'SAP CPQ features', 'SQL', 'CSS']",False
['full-time'],['hybrid work'],['senior'],Warszawa,"['AWS', 'Kubernetes', 'Microsoft Azure', 'Google Cloud Platform']","['Windows', 'Linux']","['Cloud Formation', 'PowerShell', 'VMware', 'Python', 'Terraform']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Kraków,"['Scrum', 'DevOps', 'Agile']","['Windows', 'Linux']","['Cloudflare', 'TLS/mTLS', 'HTTPS', 'SSL', 'Python', 'HTTP']",False
['full-time'],"['home office work', 'hybrid work']",['mid'],Warszawa,,,"['Docker', 'Apache Spark', 'Kubernetes', 'Python', 'SQL', 'Hadoop']",False
['full-time'],['home office work'],['junior'],Warszawa,['Linux'],,"['Docker', 'Git', 'Python', 'Airflow', 'SQL', 'Kedro']",False
['full-time'],['hybrid work'],['mid'],Raszyn (pow. pruszkowski),"['Linux', 'Windows']",,"['Jenkins', 'Selenium', 'Python', 'SQL', 'SVN', 'Behave']",False
['full-time'],['hybrid work'],['mid'],Warszawa,['Windows'],,"['Jenkins', 'Spring Boot', 'Git', 'Java', 'Python']",True
['full-time'],['hybrid work'],['mid'],Wrocław,['Windows'],,"['HTML', 'Python', 'SAP CPQ features', 'SQL', 'CSS']",False
['full-time'],['hybrid work'],['senior'],Kraków,"['Jenkins', 'Git', 'Artifactory', 'Nexus', 'Gerrit']",['Windows'],"['Java', 'Perl', 'Python', 'AWS', 'Microsoft Azure', 'Gradle', 'C++']",True
['full-time'],['home office work'],['mid'],Kraków,,,"['PowerShell', 'Python', 'AWS', 'Azure DevOps', 'Bash', 'Google Cloud Platform']",True
['full-time'],['hybrid work'],['senior'],Gdańsk,,,"['Go', 'Docker', 'Python', 'Terraform', '.NET', 'Kubernetes', 'AWS', 'Bash', 'Ansible']",False
['full-time'],"['hybrid work', 'full office work']","['mid', 'senior']",Warszawa,['Kubeflow'],"['Windows', 'Linux']","['Scala', 'HBase', 'Python', 'Kudu', 'Hive', 'Kafka', 'Apache Nifi', 'Java', 'Ansible']",True
['full-time'],['hybrid work'],['mid'],Gdańsk,"['WebSockets', 'HTML', 'Python', 'PHP', 'PowerBI', 'C', 'Torch/PyTorch', 'NumPy', 'JavaScript', 'Rust', 'SELinux', 'Pandas', 'SciKit', 'PWA', 'CSS', 'Tensorflow']",,"['RHEL', 'Python', 'Envoy', 'Linux', 'Rust', 'Nginx', 'MariaDB', 'Mosquitto', 'Podman', 'C']",False
['full-time'],"['hybrid work', 'full office work']",['senior'],Kraków,,,"['AltTester', 'Python', 'C#', 'Firebase', 'Java', 'Unity Test Framework', 'AWS', 'Appium']",True
"['part time', 'full-time']","['hybrid work', 'full office work']",['mid'],Sosnowiec,"['Bash', 'Active Directory', 'Docker', 'Windows Server']","['Windows', 'Linux']","['Nginx', 'Python', 'Check_MK', 'Direct Admin', 'Apache Tomcat', 'Linux', 'Proxmox']",False
['full-time'],['hybrid work'],['mid'],Poznań,"['Linux', 'Windows']",,"['Jmeter', 'Python', 'Robot framework', 'Jira', 'SQL', 'Postman', 'SoapUI', 'Selenium']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Confluence', 'GNU Make', 'GPG/PGP', 'Jira', 'SQL', 'Sops']",,"['Docker', 'Python', 'Terragrunt', 'Terraform', 'GitHub Actions', 'Containers', 'AWS', 'SonarQube']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Jenkins', 'Grafana', 'Selenium', 'Redis', 'Jira', 'Bitbucket', 'Ansible']","['Windows', 'Linux']","['SQL', 'Git', 'Kubernetes', 'Python', 'Linux', 'PostgreSQL', 'Ansible']",True
[],['home office work'],['mid'],Wrocław,"['Next.js', 'Docker', 'Git', 'TypeScript', 'React.js']",,"['MongoDB', 'PHP', 'Node.js', 'Python', 'Java', 'JavaScript', 'SQL']",False
['full-time'],['hybrid work'],['mid'],Kraków,,,"['SAS', 'Matlab', 'Python', 'SQL', 'R', 'C++']",True
['full-time'],"['home office work', 'hybrid work']",['lead'],Wrocław,"['Redis', 'PostgreSQL', 'GraphQL', 'BigQuery']",,"['Python', 'SQL', 'Docker', 'Google Cloud Platform']",True
['full-time'],['home office work'],"['mid', 'senior']",Warszawa,,,"['Docker', 'Git', 'Networks', 'Kubernetes', 'Python', 'Linux', 'OpenStack']",False
['full-time'],['hybrid work'],['mid'],Warszawa,,,"['GoLang', 'Docker', 'Java', 'Kubernetes', 'Python', 'Spring', 'AWS']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Hadoop', 'Apache Spark', 'Hive']",['Windows'],"['Python', 'AWS', 'SQL', 'PostgreSQL', 'Microsoft SQL Server']",False
['full-time'],['hybrid work'],['senior'],Kraków,['macOS'],,"['Spark', 'Big Data', 'Python', 'Hadoop', 'Pyspark']",True
['full-time'],['hybrid work'],['mid'],Warszawa,"['DevOps', 'Kubernetes']",,"['Presto', 'Kafka', 'Spark', 'Scala', 'Java', 'Python', 'Airflow']",False
['full-time'],['home office work'],['mid'],Warszawa,['Broadcast Automation'],"['Windows', 'Linux']","['Networking', 'JavaScript', 'Aurora', 'MariaDB', 'Python', 'SQL']",False
['full-time'],['hybrid work'],['mid'],dolnośląskie,,,"['Azure Cosmos DB', 'Cloudflare', 'Python', 'GCP', 'SQL']",False
['full-time'],['home office work'],['mid'],Warszawa,"['Streamlit', 'Dash', 'Shiny R']",['Windows'],"['SQL', 'Git', 'Python', 'Microsoft Azure', 'Databricks']",True
['full-time'],['hybrid work'],['mid'],Wrocław,,,"['Polarion', 'C++', 'Python', 'GitHub', 'Azure DevOps', 'C']",False
['full-time'],['hybrid work'],"['senior', 'expert']",Warszawa,,,"['Big Query', 'Python', 'Jira', 'SQL', 'R', 'Power BI']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,"['MS Service Broker', 'Apache ServiceMix', 'RabbitMQ']",['Linux'],"['Spring Boot', 'Docker', 'Maven', 'Java', 'Kubernetes', 'Python', 'Bash']",False
